7.1848 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
72.6250 	EXP 	New trial (rep=2, index=4): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
72.6332 	DATA 	Keypress: t
72.6387 	EXP 	fixation: autoDraw = False
72.6387 	EXP 	text: autoDraw = False
72.6387 	EXP 	text: height = 0.05
72.6387 	EXP 	text: height = 0.05
72.6387 	EXP 	text: height = 0.05
72.6387 	EXP 	text: text = 'GBP 40 today or  GBP55 after 62 days'
72.6387 	EXP 	fixation: autoDraw = True
73.6385 	EXP 	fixation: autoDraw = False
73.6385 	EXP 	text: autoDraw = True
76.1571 	EXP 	New trial (rep=2, index=5): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
76.1667 	DATA 	Keypress: l
76.1706 	EXP 	fixation: autoDraw = False
76.1706 	EXP 	text: autoDraw = False
76.1706 	EXP 	text: height = 0.05
76.1706 	EXP 	text: height = 0.05
76.1706 	EXP 	text: height = 0.05
76.1706 	EXP 	text: text = 'GBP 78 today or  GBP80 after 162 days'
76.1706 	EXP 	fixation: autoDraw = True
77.1705 	EXP 	fixation: autoDraw = False
77.1705 	EXP 	text: autoDraw = True
79.5404 	DATA 	Keypress: l
79.5554 	EXP 	New trial (rep=2, index=6): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
79.5697 	EXP 	fixation: autoDraw = False
79.5697 	EXP 	text: autoDraw = False
79.5697 	EXP 	text: height = 0.05
79.5697 	EXP 	text: height = 0.05
79.5697 	EXP 	text: height = 0.05
79.5697 	EXP 	text: text = 'GBP 49 today or  GBP60 after 89 days'
79.5697 	EXP 	fixation: autoDraw = True
80.5693 	EXP 	fixation: autoDraw = False
80.5693 	EXP 	text: autoDraw = True
85.7867 	EXP 	New trial (rep=3, index=0): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
85.7971 	DATA 	Keypress: l
85.8009 	EXP 	fixation: autoDraw = False
85.8009 	EXP 	text: autoDraw = False
85.8009 	EXP 	text: height = 0.05
85.8009 	EXP 	text: height = 0.05
85.8009 	EXP 	text: height = 0.05
85.8009 	EXP 	text: text = 'GBP 78 today or  GBP80 after 162 days'
85.8009 	EXP 	fixation: autoDraw = True
86.8006 	EXP 	fixation: autoDraw = False
86.8006 	EXP 	text: autoDraw = True
88.5191 	EXP 	New trial (rep=3, index=1): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
88.5277 	DATA 	Keypress: l
88.5334 	EXP 	fixation: autoDraw = False
88.5334 	EXP 	text: autoDraw = False
88.5334 	EXP 	text: height = 0.05
88.5334 	EXP 	text: height = 0.05
88.5334 	EXP 	text: height = 0.05
88.5334 	EXP 	text: text = 'GBP 27 today or  GBP50 after 21 days'
88.5334 	EXP 	fixation: autoDraw = True
89.5330 	EXP 	fixation: autoDraw = False
89.5330 	EXP 	text: autoDraw = True
91.0018 	EXP 	New trial (rep=3, index=2): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
91.0097 	DATA 	Keypress: t
91.0156 	EXP 	fixation: autoDraw = False
91.0156 	EXP 	text: autoDraw = False
91.0156 	EXP 	text: height = 0.05
91.0156 	EXP 	text: height = 0.05
91.0156 	EXP 	text: height = 0.05
91.0156 	EXP 	text: text = 'GBP 67 today or  GBP75 after 119 days'
